number1	number2
"0,589"	"'0,589'"
"0,578"	"'0,578'"
"7,779"	"'7,779'"
"0,139"	"'0,139'"
"1,687"	"'1,687'"
"3,246"	"'3,246'"
"0,254"	"'0,254'"
"3,133"	"'3,133'"
"9,446"	"'9,446'"
"6,241"	"'6,241'"
"4,922"	"'4,922'"
"4,657"	"'4,657'"
"5,134"	"'5,134'"
"4,947"	"'4,947'"
"5,988"	"'5,988'"
"1,376"	"'1,376'"
"0,291"	"'0,291'"
"1,515"	"'1,515'"
"3,126"	"'3,126'"
"0,853"	"'0,853'"
"2,768"	"'2,768'"
"6,738"	"'6,738'"
"8,168"	"'8,168'"
"0,181"	"'0,181'"
"6,760"	"'6,760'"
"2,199"	"'2,199'"
"2,207"	"'2,207'"
"5,145"	"'5,145'"
"8,247"	"'8,247'"
"7,646"	"'7,646'"
"0,941"	"'0,941'"
"1,886"	"'1,886'"
"4,981"	"'4,981'"
"2,140"	"'2,140'"
"6,987"	"'6,987'"
"0,326"	"'0,326'"
"2,867"	"'2,867'"
"4,890"	"'4,890'"
"8,625"	"'8,625'"
"4,475"	"'4,475'"
"0,903"	"'0,903'"
