trip_date,searches
7/1/14,715
7/2/14,733
7/3/14,832
7/4/14,1211
7/5/14,1321
7/6/14,924
7/7/14,757
7/8/14,687
7/9/14,791
7/10/14,729
7/11/14,808
7/12/14,1209
7/13/14,741
7/14/14,727
7/15/14,717
7/16/14,1114
7/17/14,1031
7/18/14,1504
7/19/14,1933
7/20/14,1135
7/21/14,874
7/22/14,901
7/23/14,1081
7/24/14,1021
7/25/14,1087
7/26/14,1607
7/27/14,1062
7/28/14,1045
7/29/14,1128
7/30/14,1153
7/31/14,1310
8/1/14,1535
8/2/14,1913
8/3/14,1500
8/4/14,1651
8/5/14,1618
8/6/14,1737
8/7/14,1814
8/8/14,2070
8/9/14,2573
8/10/14,2176
8/11/14,2173
8/12/14,3192
8/13/14,2359
8/14/14,2407
8/15/14,2724
8/16/14,3671
8/17/14,2713
8/18/14,3014
8/19/14,3479
8/20/14,3171
8/21/14,2944
8/22/14,3128
8/23/14,3550
8/24/14,3271
8/25/14,2845
8/26/14,2888
8/27/14,2646
8/28/14,2578
8/29/14,2688
8/30/14,3576
8/31/14,3174
9/1/14,3040
9/2/14,2443
9/3/14,2454
9/4/14,2352
9/5/14,2503
9/6/14,3104
9/7/14,2604
9/8/14,2321
9/9/14,2343
9/10/14,2374
9/11/14,2256
9/12/14,2214
9/13/14,2708
9/14/14,2039
9/15/14,1545
9/16/14,1461
9/17/14,1561
9/18/14,1682
9/19/14,1539
9/20/14,2044
9/21/14,1648
9/22/14,1405
9/23/14,1288
9/24/14,1449
9/25/14,1578
9/26/14,1957
9/27/14,2452
9/28/14,1984
9/29/14,1894
9/30/14,2260
10/1/14,2284
10/2/14,2448
10/3/14,2585
10/4/14,3051
10/5/14,2452
10/6/14,2069
10/7/14,1917
10/8/14,1805
10/9/14,1637
10/10/14,1754
10/11/14,2181
10/12/14,1646
10/13/14,1228
10/14/14,932
10/15/14,938
10/16/14,932
10/17/14,1561
10/18/14,2012
10/19/14,2138
10/20/14,1086
10/21/14,985
10/22/14,1240
10/23/14,1263
10/24/14,1574
10/25/14,2280
10/26/14,1498
10/27/14,1235
10/28/14,1248
10/29/14,1322
10/30/14,1375
10/31/14,2196
11/1/14,2963
11/2/14,2010
11/3/14,1931
11/4/14,1804
11/5/14,1804
11/6/14,1887
11/7/14,2570
11/8/14,4063
11/9/14,3199
11/10/14,3027
11/11/14,3441
11/12/14,3472
11/13/14,3718
11/14/14,4893
11/15/14,7773
11/16/14,6257
11/17/14,5164
11/18/14,6070
11/19/14,7615
11/20/14,6279
11/21/14,8705
11/22/14,16285
11/23/14,11627
11/24/14,8681
11/25/14,9205
11/26/14,12562
11/27/14,17234
11/28/14,33920
11/29/14,35414
11/30/14,19477
12/1/14,11358
12/2/14,9558
12/3/14,9358
12/4/14,9988
12/5/14,15915
12/6/14,34287
12/7/14,22323
12/8/14,12684
12/9/14,12374
12/10/14,14244
12/11/14,16642
12/12/14,27973
12/13/14,43986
12/14/14,29243
12/15/14,21520
12/16/14,20287
12/17/14,21839
12/18/14,23023
12/19/14,32442
12/20/14,60444
12/21/14,58342
12/22/14,65416
12/23/14,60722
12/24/14,54297
12/25/14,68276
12/26/14,96232
12/27/14,118821
12/28/14,109129
12/29/14,134819
12/30/14,128914
12/31/14,115740
1/1/15,122824
1/2/15,135820
1/3/15,120409
1/4/15,66534
1/5/15,53397
1/6/15,51321
1/7/15,49700
1/8/15,47268
1/9/15,60459
1/10/15,117468
1/11/15,83860
1/12/15,43826
1/13/15,41747
1/14/15,43173
1/15/15,43560
1/16/15,70196
1/17/15,181363
1/18/15,145453
1/19/15,114270
1/20/15,42787
1/21/15,39079
1/22/15,41794
1/23/15,68897
1/24/15,144077
1/25/15,99383
1/26/15,48052
1/27/15,44685
1/28/15,50120
1/29/15,49434
1/30/15,79528
1/31/15,153169
2/1/15,120230
2/2/15,52162
2/3/15,45525
2/4/15,46520
2/5/15,48691
2/6/15,78486
2/7/15,153446
2/8/15,103876
2/9/15,58532
2/10/15,51685
2/11/15,47400
2/12/15,50324
2/13/15,87843
2/14/15,186056
2/15/15,156499
2/16/15,138212
2/17/15,93130
2/18/15,89329
2/19/15,84814
2/20/15,101529
2/21/15,155887
2/22/15,99745
2/23/15,59085
2/24/15,52831
2/25/15,53372
2/26/15,55763
2/27/15,82514
2/28/15,151014
3/1/15,102111
3/2/15,59561
3/3/15,54867
3/4/15,52223
3/5/15,53452
3/6/15,75559
3/7/15,136126
3/8/15,99676
3/9/15,60874
3/10/15,55974
3/11/15,51385
3/12/15,48679
3/13/15,66327
3/14/15,100753
3/15/15,83541
3/16/15,70352
3/17/15,69712
3/18/15,59695
3/19/15,54378
3/20/15,58612
3/21/15,84187
3/22/15,57815
3/23/15,36539
3/24/15,33744
3/25/15,31075
3/26/15,26940
3/27/15,34417
3/28/15,61485
3/29/15,48927
3/30/15,30028
3/31/15,28700
4/1/15,29607
4/2/15,25927
4/3/15,37024
4/4/15,44324
4/5/15,31576
4/6/15,24413
4/7/15,20644
4/8/15,19146
